Title	title-short	ISSN	EISSN	Field	parent	FORMAT
Metabolic Syndrome and Related Disorders	MET	1540-4196	1557-8518	Medicine	mary-ann-lieber-vancouver	numeric
Microbial Drug Resistance	MDR	1076-6294	1931-8448	Medicine	mary-ann-lieber-vancouver	numeric
Monoclonal Antibodies in Immunodiagnosis and Immunotherapy	MAB	x	2167-9436	Biology	mary-ann-lieber-vancouver	numeric
Neurotrauma Reports	NEUR	x	2689-288X	Medicine	mary-ann-lieber-vancouver	numeric
New Space	SPACE	2168-0256	2168-0264	Engineering	mary-ann-lieber-vancouver	numeric
Nucleic Acid Therapeutics	NAT	2159-3337	2159-3345	Biology	mary-ann-lieber-vancouver	numeric
OMICS: A Journal of Integrative Biology	OMICS	1536-2310	1557-8100	Biology	mary-ann-lieber-harvard	author-date
Palliative Medicine Reports	PMR	x	2689-2820	Medicine	mary-ann-lieber-vancouver	numeric
Pediatric Allergy, Immunology, and Pulmonology	PED	2151-321Xÿ	2151-3228	Medicine	mary-ann-lieber-vancouver	numeric
PHAGE: Therapy, Applications, and Research	PHAGE	2641-6530	2641-6549	Biology	mary-ann-lieber-vancouver	numeric
Photobiomodulation, Photomedicine, and Laser Surgery	PHOTOB	1549-5418	2578-5478	Medicine	mary-ann-lieber-vancouver	numeric
Population Health Management	POP	1942-7891	1942-7905	Medicine	mary-ann-lieber-vancouver	numeric
ReGen Open	REGEN	x	2766-2705	science	mary-ann-lieber-vancouver	numeric
Rejuvenation Research	REJ	1549-1684	1557-8577	Biology	mary-ann-lieber-vancouver	numeric
Soft Robotics	SORO	2169-5172	ÿ2169-5180	Engineering	mary-ann-lieber-vancouver	numeric
Stem Cells and Development	SCD	1547-3287	1557-8534	Biology	mary-ann-lieber-vancouver	numeric
Surgical Infections	SUR	1096-2964	1557-8674	Medicine	mary-ann-lieber-vancouver	numeric
Telemedicine and e-Health	TMJ	1530-5627	1556-3669	Medicine	mary-ann-lieber-vancouver	numeric
Telemedicine Reports	TMR	x	2692-4366ÿ	Medicine	mary-ann-lieber-vancouver	numeric
The CRISPR Journal	CRISPR	2573-1599	2573-1602	Biology	mary-ann-lieber-vancouver	numeric
Therapeutic Hypothermia and Temperature Management	THER	2153-7658	2153-7933	Medicine	mary-ann-lieber-harvard	author-date
Thyroid	THY	1050-7256	1557-9077	Biology	mary-ann-lieber-vancouver	numeric
Tissue Engineering	TEN (TEA, TEB, TEC)	2152-4947	2152-4955	Biology	mary-ann-lieber-vancouver	numeric
Transgender Health	TRGH	2688-4887	2380-193X	Medicine	mary-ann-lieber-vancouver	numeric
Vector-Borne and Zoonotic Diseases	VBZ	1530-3667	1557-7759	Medicine	mary-ann-lieber-harvard	author-date
VideoEndocrinology	VE	x	2329-9738	Biology	mary-ann-lieber-vancouver	numeric
Violence and Gender	VIO	2326-7836	2326-7852	Medicine	mary-ann-lieber-harvard	numeric
Viral Immunology	VIM	0882-8245	1557-8976	Biology	mary-ann-lieber-harvard	author-date
Women?s Health Reports	WHR	x	2688-4844	Medicine	mary-ann-lieber-vancouver	numeric
Zebrafish	ZEB	1545-8547	1557-8542	Biology	mary-ann-lieber-vancouver	numeric
